environment,algorithm,seed,episode,train_reward,eval_reward,epsilon
CartPole-v1,dueling_dqn,0,1,21.0,,0.985
CartPole-v1,dueling_dqn,0,2,29.0,,0.970225
CartPole-v1,dueling_dqn,0,3,16.0,,0.955672
CartPole-v1,dueling_dqn,0,4,14.0,,0.941337
CartPole-v1,dueling_dqn,0,5,14.0,,0.927217
CartPole-v1,dueling_dqn,0,6,18.0,,0.913308
CartPole-v1,dueling_dqn,0,7,13.0,,0.899609
CartPole-v1,dueling_dqn,0,8,10.0,,0.886115
CartPole-v1,dueling_dqn,0,9,29.0,,0.872823
CartPole-v1,dueling_dqn,0,10,9.0,,0.85973
CartPole-v1,dueling_dqn,0,11,19.0,,0.846834
CartPole-v1,dueling_dqn,0,12,9.0,,0.834132
CartPole-v1,dueling_dqn,0,13,23.0,,0.82162
CartPole-v1,dueling_dqn,0,14,10.0,,0.809296
CartPole-v1,dueling_dqn,0,15,19.0,,0.797156
CartPole-v1,dueling_dqn,0,16,23.0,,0.785199
CartPole-v1,dueling_dqn,0,17,15.0,,0.773421
CartPole-v1,dueling_dqn,0,18,16.0,,0.76182
CartPole-v1,dueling_dqn,0,19,27.0,,0.750392
CartPole-v1,dueling_dqn,0,20,18.0,9.2,0.739136
CartPole-v1,dueling_dqn,0,21,21.0,,0.728049
CartPole-v1,dueling_dqn,0,22,13.0,,0.717129
CartPole-v1,dueling_dqn,0,23,10.0,,0.706372
CartPole-v1,dueling_dqn,0,24,14.0,,0.695776
CartPole-v1,dueling_dqn,0,25,12.0,,0.685339
CartPole-v1,dueling_dqn,0,26,30.0,,0.675059
CartPole-v1,dueling_dqn,0,27,15.0,,0.664934
CartPole-v1,dueling_dqn,0,28,19.0,,0.65496
CartPole-v1,dueling_dqn,0,29,17.0,,0.645135
CartPole-v1,dueling_dqn,0,30,25.0,,0.635458
CartPole-v1,dueling_dqn,0,31,14.0,,0.625926
CartPole-v1,dueling_dqn,0,32,14.0,,0.616537
CartPole-v1,dueling_dqn,0,33,10.0,,0.607289
CartPole-v1,dueling_dqn,0,34,11.0,,0.59818
CartPole-v1,dueling_dqn,0,35,15.0,,0.589207
CartPole-v1,dueling_dqn,0,36,10.0,,0.580369
CartPole-v1,dueling_dqn,0,37,13.0,,0.571664
CartPole-v1,dueling_dqn,0,38,9.0,,0.563089
CartPole-v1,dueling_dqn,0,39,20.0,,0.554642
CartPole-v1,dueling_dqn,0,40,14.0,9.2,0.546323
CartPole-v1,dueling_dqn,0,41,15.0,,0.538128
CartPole-v1,dueling_dqn,0,42,15.0,,0.530056
CartPole-v1,dueling_dqn,0,43,18.0,,0.522105
CartPole-v1,dueling_dqn,0,44,13.0,,0.514273
CartPole-v1,dueling_dqn,0,45,10.0,,0.506559
CartPole-v1,dueling_dqn,0,46,16.0,,0.498961
CartPole-v1,dueling_dqn,0,47,14.0,,0.491477
CartPole-v1,dueling_dqn,0,48,13.0,,0.484104
CartPole-v1,dueling_dqn,0,49,13.0,,0.476843
CartPole-v1,dueling_dqn,0,50,19.0,,0.46969
CartPole-v1,dueling_dqn,0,51,12.0,,0.462645
CartPole-v1,dueling_dqn,0,52,15.0,,0.455705
CartPole-v1,dueling_dqn,0,53,12.0,,0.44887
CartPole-v1,dueling_dqn,0,54,25.0,,0.442137
CartPole-v1,dueling_dqn,0,55,15.0,,0.435505
CartPole-v1,dueling_dqn,0,56,15.0,,0.428972
CartPole-v1,dueling_dqn,0,57,12.0,,0.422537
CartPole-v1,dueling_dqn,0,58,27.0,,0.416199
CartPole-v1,dueling_dqn,0,59,25.0,,0.409956
CartPole-v1,dueling_dqn,0,60,53.0,128.4,0.403807
CartPole-v1,dueling_dqn,0,61,23.0,,0.39775
CartPole-v1,dueling_dqn,0,62,15.0,,0.391784
CartPole-v1,dueling_dqn,0,63,18.0,,0.385907
CartPole-v1,dueling_dqn,0,64,22.0,,0.380118
CartPole-v1,dueling_dqn,0,65,26.0,,0.374417
CartPole-v1,dueling_dqn,0,66,34.0,,0.3688
CartPole-v1,dueling_dqn,0,67,29.0,,0.363268
CartPole-v1,dueling_dqn,0,68,23.0,,0.357819
CartPole-v1,dueling_dqn,0,69,23.0,,0.352452
CartPole-v1,dueling_dqn,0,70,31.0,,0.347165
CartPole-v1,dueling_dqn,0,71,18.0,,0.341958
CartPole-v1,dueling_dqn,0,72,31.0,,0.336828
CartPole-v1,dueling_dqn,0,73,50.0,,0.331776
CartPole-v1,dueling_dqn,0,74,45.0,,0.326799
CartPole-v1,dueling_dqn,0,75,73.0,,0.321897
CartPole-v1,dueling_dqn,0,76,42.0,,0.317069
CartPole-v1,dueling_dqn,0,77,64.0,,0.312313
CartPole-v1,dueling_dqn,0,78,67.0,,0.307628
CartPole-v1,dueling_dqn,0,79,30.0,,0.303014
CartPole-v1,dueling_dqn,0,80,45.0,39.8,0.298468
CartPole-v1,dueling_dqn,0,81,25.0,,0.293991
CartPole-v1,dueling_dqn,0,82,36.0,,0.289582
CartPole-v1,dueling_dqn,0,83,34.0,,0.285238
CartPole-v1,dueling_dqn,0,84,32.0,,0.280959
CartPole-v1,dueling_dqn,0,85,39.0,,0.276745
CartPole-v1,dueling_dqn,0,86,40.0,,0.272594
CartPole-v1,dueling_dqn,0,87,71.0,,0.268505
CartPole-v1,dueling_dqn,0,88,34.0,,0.264477
CartPole-v1,dueling_dqn,0,89,49.0,,0.26051
CartPole-v1,dueling_dqn,0,90,63.0,,0.256602
CartPole-v1,dueling_dqn,0,91,33.0,,0.252753
CartPole-v1,dueling_dqn,0,92,32.0,,0.248962
CartPole-v1,dueling_dqn,0,93,48.0,,0.245228
CartPole-v1,dueling_dqn,0,94,64.0,,0.241549
CartPole-v1,dueling_dqn,0,95,56.0,,0.237926
CartPole-v1,dueling_dqn,0,96,34.0,,0.234357
CartPole-v1,dueling_dqn,0,97,33.0,,0.230842
CartPole-v1,dueling_dqn,0,98,89.0,,0.227379
CartPole-v1,dueling_dqn,0,99,48.0,,0.223968
CartPole-v1,dueling_dqn,0,100,68.0,142.2,0.220609
CartPole-v1,dueling_dqn,0,101,65.0,,0.2173
CartPole-v1,dueling_dqn,0,102,60.0,,0.21404
CartPole-v1,dueling_dqn,0,103,91.0,,0.21083
CartPole-v1,dueling_dqn,0,104,75.0,,0.207667
CartPole-v1,dueling_dqn,0,105,116.0,,0.204552
CartPole-v1,dueling_dqn,0,106,95.0,,0.201484
CartPole-v1,dueling_dqn,0,107,300.0,,0.198462
CartPole-v1,dueling_dqn,0,108,170.0,,0.195485
CartPole-v1,dueling_dqn,0,109,152.0,,0.192552
CartPole-v1,dueling_dqn,0,110,160.0,,0.189664
CartPole-v1,dueling_dqn,0,111,265.0,,0.186819
CartPole-v1,dueling_dqn,0,112,283.0,,0.184017
CartPole-v1,dueling_dqn,0,113,232.0,,0.181257
CartPole-v1,dueling_dqn,0,114,201.0,,0.178538
CartPole-v1,dueling_dqn,0,115,161.0,,0.17586
CartPole-v1,dueling_dqn,0,116,189.0,,0.173222
CartPole-v1,dueling_dqn,0,117,159.0,,0.170624
CartPole-v1,dueling_dqn,0,118,187.0,,0.168064
CartPole-v1,dueling_dqn,0,119,151.0,,0.165543
CartPole-v1,dueling_dqn,0,120,204.0,175.0,0.16306
CartPole-v1,dueling_dqn,0,121,215.0,,0.160614
CartPole-v1,dueling_dqn,0,122,201.0,,0.158205
CartPole-v1,dueling_dqn,0,123,216.0,,0.155832
CartPole-v1,dueling_dqn,0,124,229.0,,0.153494
CartPole-v1,dueling_dqn,0,125,234.0,,0.151192
CartPole-v1,dueling_dqn,0,126,296.0,,0.148924
CartPole-v1,dueling_dqn,0,127,310.0,,0.14669
CartPole-v1,dueling_dqn,0,128,258.0,,0.14449
CartPole-v1,dueling_dqn,0,129,258.0,,0.142323
CartPole-v1,dueling_dqn,0,130,290.0,,0.140188
CartPole-v1,dueling_dqn,0,131,322.0,,0.138085
CartPole-v1,dueling_dqn,0,132,294.0,,0.136014
CartPole-v1,dueling_dqn,0,133,236.0,,0.133973
CartPole-v1,dueling_dqn,0,134,297.0,,0.131964
CartPole-v1,dueling_dqn,0,135,268.0,,0.129984
CartPole-v1,dueling_dqn,0,136,342.0,,0.128035
CartPole-v1,dueling_dqn,0,137,297.0,,0.126114
CartPole-v1,dueling_dqn,0,138,264.0,,0.124222
CartPole-v1,dueling_dqn,0,139,337.0,,0.122359
CartPole-v1,dueling_dqn,0,140,261.0,332.2,0.120524
CartPole-v1,dueling_dqn,0,141,365.0,,0.118716
CartPole-v1,dueling_dqn,0,142,351.0,,0.116935
CartPole-v1,dueling_dqn,0,143,410.0,,0.115181
CartPole-v1,dueling_dqn,0,144,367.0,,0.113453
CartPole-v1,dueling_dqn,0,145,344.0,,0.111752
CartPole-v1,dueling_dqn,0,146,326.0,,0.110075
CartPole-v1,dueling_dqn,0,147,312.0,,0.108424
CartPole-v1,dueling_dqn,0,148,296.0,,0.106798
CartPole-v1,dueling_dqn,0,149,324.0,,0.105196
CartPole-v1,dueling_dqn,0,150,274.0,,0.103618
CartPole-v1,dueling_dqn,0,151,369.0,,0.102064
CartPole-v1,dueling_dqn,0,152,458.0,,0.100533
CartPole-v1,dueling_dqn,0,153,394.0,,0.099025
CartPole-v1,dueling_dqn,0,154,323.0,,0.097539
CartPole-v1,dueling_dqn,0,155,296.0,,0.096076
CartPole-v1,dueling_dqn,0,156,441.0,,0.094635
CartPole-v1,dueling_dqn,0,157,371.0,,0.093216
CartPole-v1,dueling_dqn,0,158,342.0,,0.091817
CartPole-v1,dueling_dqn,0,159,377.0,,0.09044
CartPole-v1,dueling_dqn,0,160,433.0,334.6,0.089083
