environment,algorithm,seed,episode,train_reward,eval_reward,epsilon
LunarLander-v3,dueling_dqn,0,1,-213.8271,,0.985
LunarLander-v3,dueling_dqn,0,2,-424.6021,,0.970225
LunarLander-v3,dueling_dqn,0,3,-121.6017,,0.955672
LunarLander-v3,dueling_dqn,0,4,-82.2834,,0.941337
LunarLander-v3,dueling_dqn,0,5,-390.8726,,0.927217
LunarLander-v3,dueling_dqn,0,6,-259.7594,,0.913308
LunarLander-v3,dueling_dqn,0,7,-99.854,,0.899609
LunarLander-v3,dueling_dqn,0,8,-151.4818,,0.886115
LunarLander-v3,dueling_dqn,0,9,-145.4842,,0.872823
LunarLander-v3,dueling_dqn,0,10,-134.7974,,0.85973
LunarLander-v3,dueling_dqn,0,11,-71.1392,,0.846834
LunarLander-v3,dueling_dqn,0,12,-283.3873,,0.834132
LunarLander-v3,dueling_dqn,0,13,-172.4086,,0.82162
LunarLander-v3,dueling_dqn,0,14,-128.2629,,0.809296
LunarLander-v3,dueling_dqn,0,15,-310.984,,0.797156
LunarLander-v3,dueling_dqn,0,16,-151.2187,,0.785199
LunarLander-v3,dueling_dqn,0,17,-243.609,,0.773421
LunarLander-v3,dueling_dqn,0,18,-405.8782,,0.76182
LunarLander-v3,dueling_dqn,0,19,-286.5695,,0.750392
LunarLander-v3,dueling_dqn,0,20,-395.0608,-190.0113,0.739136
LunarLander-v3,dueling_dqn,0,21,-196.6392,,0.728049
LunarLander-v3,dueling_dqn,0,22,-163.9102,,0.717129
LunarLander-v3,dueling_dqn,0,23,-143.0334,,0.706372
LunarLander-v3,dueling_dqn,0,24,-80.8546,,0.695776
LunarLander-v3,dueling_dqn,0,25,-210.9234,,0.685339
LunarLander-v3,dueling_dqn,0,26,-269.5573,,0.675059
LunarLander-v3,dueling_dqn,0,27,-217.7595,,0.664934
LunarLander-v3,dueling_dqn,0,28,-39.6195,,0.65496
LunarLander-v3,dueling_dqn,0,29,-171.882,,0.645135
LunarLander-v3,dueling_dqn,0,30,-223.2205,,0.635458
LunarLander-v3,dueling_dqn,0,31,-20.417,,0.625926
LunarLander-v3,dueling_dqn,0,32,-66.7442,,0.616537
LunarLander-v3,dueling_dqn,0,33,-215.7426,,0.607289
LunarLander-v3,dueling_dqn,0,34,-109.8811,,0.59818
LunarLander-v3,dueling_dqn,0,35,-91.5048,,0.589207
LunarLander-v3,dueling_dqn,0,36,-153.9977,,0.580369
LunarLander-v3,dueling_dqn,0,37,-151.9276,,0.571664
LunarLander-v3,dueling_dqn,0,38,-187.4733,,0.563089
LunarLander-v3,dueling_dqn,0,39,-199.1958,,0.554642
LunarLander-v3,dueling_dqn,0,40,-97.3208,-135.1882,0.546323
LunarLander-v3,dueling_dqn,0,41,-137.1094,,0.538128
LunarLander-v3,dueling_dqn,0,42,-145.8381,,0.530056
LunarLander-v3,dueling_dqn,0,43,-226.7624,,0.522105
LunarLander-v3,dueling_dqn,0,44,-263.8027,,0.514273
LunarLander-v3,dueling_dqn,0,45,-253.4554,,0.506559
LunarLander-v3,dueling_dqn,0,46,-30.3128,,0.498961
LunarLander-v3,dueling_dqn,0,47,-105.9776,,0.491477
LunarLander-v3,dueling_dqn,0,48,-228.1307,,0.484104
LunarLander-v3,dueling_dqn,0,49,-170.8114,,0.476843
LunarLander-v3,dueling_dqn,0,50,5.7554,,0.46969
LunarLander-v3,dueling_dqn,0,51,-33.5203,,0.462645
LunarLander-v3,dueling_dqn,0,52,-65.5336,,0.455705
LunarLander-v3,dueling_dqn,0,53,-222.7677,,0.44887
LunarLander-v3,dueling_dqn,0,54,-240.101,,0.442137
LunarLander-v3,dueling_dqn,0,55,-145.7915,,0.435505
LunarLander-v3,dueling_dqn,0,56,-26.0974,,0.428972
LunarLander-v3,dueling_dqn,0,57,-231.5877,,0.422537
LunarLander-v3,dueling_dqn,0,58,-73.185,,0.416199
LunarLander-v3,dueling_dqn,0,59,-92.6176,,0.409956
LunarLander-v3,dueling_dqn,0,60,-257.7103,-160.8163,0.403807
LunarLander-v3,dueling_dqn,0,61,-139.7646,,0.39775
LunarLander-v3,dueling_dqn,0,62,-156.6167,,0.391784
LunarLander-v3,dueling_dqn,0,63,-152.8624,,0.385907
LunarLander-v3,dueling_dqn,0,64,-136.8145,,0.380118
LunarLander-v3,dueling_dqn,0,65,-91.147,,0.374417
LunarLander-v3,dueling_dqn,0,66,-96.9014,,0.3688
LunarLander-v3,dueling_dqn,0,67,-111.5345,,0.363268
LunarLander-v3,dueling_dqn,0,68,-51.8262,,0.357819
LunarLander-v3,dueling_dqn,0,69,-64.9328,,0.352452
LunarLander-v3,dueling_dqn,0,70,-11.7088,,0.347165
LunarLander-v3,dueling_dqn,0,71,-180.4291,,0.341958
LunarLander-v3,dueling_dqn,0,72,-238.4842,,0.336828
LunarLander-v3,dueling_dqn,0,73,-184.6328,,0.331776
LunarLander-v3,dueling_dqn,0,74,-222.5892,,0.326799
LunarLander-v3,dueling_dqn,0,75,-134.6393,,0.321897
LunarLander-v3,dueling_dqn,0,76,-208.5567,,0.317069
LunarLander-v3,dueling_dqn,0,77,-240.2511,,0.312313
LunarLander-v3,dueling_dqn,0,78,-216.9092,,0.307628
LunarLander-v3,dueling_dqn,0,79,-47.708,,0.303014
LunarLander-v3,dueling_dqn,0,80,-310.9723,-160.7286,0.298468
LunarLander-v3,dueling_dqn,0,81,-58.6348,,0.293991
LunarLander-v3,dueling_dqn,0,82,-205.6659,,0.289582
LunarLander-v3,dueling_dqn,0,83,-389.9775,,0.285238
LunarLander-v3,dueling_dqn,0,84,-120.098,,0.280959
LunarLander-v3,dueling_dqn,0,85,-215.9077,,0.276745
LunarLander-v3,dueling_dqn,0,86,-70.9464,,0.272594
LunarLander-v3,dueling_dqn,0,87,-10.7273,,0.268505
LunarLander-v3,dueling_dqn,0,88,-9.5729,,0.264477
LunarLander-v3,dueling_dqn,0,89,-172.107,,0.26051
LunarLander-v3,dueling_dqn,0,90,-46.1202,,0.256602
LunarLander-v3,dueling_dqn,0,91,-12.2144,,0.252753
LunarLander-v3,dueling_dqn,0,92,-86.5557,,0.248962
LunarLander-v3,dueling_dqn,0,93,-85.5627,,0.245228
LunarLander-v3,dueling_dqn,0,94,-60.4769,,0.241549
LunarLander-v3,dueling_dqn,0,95,-51.3386,,0.237926
LunarLander-v3,dueling_dqn,0,96,20.2826,,0.234357
LunarLander-v3,dueling_dqn,0,97,-77.7891,,0.230842
LunarLander-v3,dueling_dqn,0,98,-41.3251,,0.227379
LunarLander-v3,dueling_dqn,0,99,-34.2375,,0.223968
LunarLander-v3,dueling_dqn,0,100,20.6935,58.6567,0.220609
LunarLander-v3,dueling_dqn,0,101,30.5375,,0.2173
LunarLander-v3,dueling_dqn,0,102,58.7218,,0.21404
LunarLander-v3,dueling_dqn,0,103,-153.0264,,0.21083
LunarLander-v3,dueling_dqn,0,104,48.4082,,0.207667
LunarLander-v3,dueling_dqn,0,105,-102.4693,,0.204552
LunarLander-v3,dueling_dqn,0,106,-206.866,,0.201484
LunarLander-v3,dueling_dqn,0,107,-185.0306,,0.198462
LunarLander-v3,dueling_dqn,0,108,-46.4575,,0.195485
LunarLander-v3,dueling_dqn,0,109,11.1233,,0.192552
LunarLander-v3,dueling_dqn,0,110,0.0754,,0.189664
LunarLander-v3,dueling_dqn,0,111,-202.4199,,0.186819
LunarLander-v3,dueling_dqn,0,112,-148.6367,,0.184017
LunarLander-v3,dueling_dqn,0,113,-286.0533,,0.181257
LunarLander-v3,dueling_dqn,0,114,-26.1117,,0.178538
LunarLander-v3,dueling_dqn,0,115,-45.7034,,0.17586
LunarLander-v3,dueling_dqn,0,116,0.9353,,0.173222
LunarLander-v3,dueling_dqn,0,117,-175.3847,,0.170624
LunarLander-v3,dueling_dqn,0,118,-34.8421,,0.168064
LunarLander-v3,dueling_dqn,0,119,48.8608,,0.165543
LunarLander-v3,dueling_dqn,0,120,-34.5836,-45.4441,0.16306
LunarLander-v3,dueling_dqn,0,121,6.7082,,0.160614
LunarLander-v3,dueling_dqn,0,122,-111.1601,,0.158205
