environment,algorithm,seed,episode,train_reward,eval_reward,epsilon
MountainCar-v0,dueling_dqn,0,1,-184.151,,0.985
MountainCar-v0,dueling_dqn,0,2,-191.6215,,0.970225
MountainCar-v0,dueling_dqn,0,3,-196.9289,,0.955672
MountainCar-v0,dueling_dqn,0,4,-193.3329,,0.941337
MountainCar-v0,dueling_dqn,0,5,-179.3144,,0.927217
MountainCar-v0,dueling_dqn,0,6,-193.3943,,0.913308
MountainCar-v0,dueling_dqn,0,7,-200.0,,0.899609
MountainCar-v0,dueling_dqn,0,8,-200.0,,0.886115
MountainCar-v0,dueling_dqn,0,9,-178.4556,,0.872823
MountainCar-v0,dueling_dqn,0,10,-170.2469,,0.85973
MountainCar-v0,dueling_dqn,0,11,-200.0,,0.846834
MountainCar-v0,dueling_dqn,0,12,-173.3847,,0.834132
MountainCar-v0,dueling_dqn,0,13,-188.2524,,0.82162
MountainCar-v0,dueling_dqn,0,14,-178.9123,,0.809296
MountainCar-v0,dueling_dqn,0,15,-200.0,,0.797156
MountainCar-v0,dueling_dqn,0,16,-186.8363,,0.785199
MountainCar-v0,dueling_dqn,0,17,-173.8227,,0.773421
MountainCar-v0,dueling_dqn,0,18,-173.5313,,0.76182
MountainCar-v0,dueling_dqn,0,19,-155.556,,0.750392
MountainCar-v0,dueling_dqn,0,20,-180.5746,-200.0,0.739136
MountainCar-v0,dueling_dqn,0,21,-144.2007,,0.728049
MountainCar-v0,dueling_dqn,0,22,-200.0,,0.717129
MountainCar-v0,dueling_dqn,0,23,-156.6656,,0.706372
MountainCar-v0,dueling_dqn,0,24,-200.0,,0.695776
MountainCar-v0,dueling_dqn,0,25,-167.0301,,0.685339
MountainCar-v0,dueling_dqn,0,26,-200.0,,0.675059
MountainCar-v0,dueling_dqn,0,27,-137.4464,,0.664934
MountainCar-v0,dueling_dqn,0,28,-174.1573,,0.65496
MountainCar-v0,dueling_dqn,0,29,-193.5435,,0.645135
MountainCar-v0,dueling_dqn,0,30,-144.4613,,0.635458
MountainCar-v0,dueling_dqn,0,31,-121.729,,0.625926
MountainCar-v0,dueling_dqn,0,32,-173.9736,,0.616537
MountainCar-v0,dueling_dqn,0,33,-200.0,,0.607289
MountainCar-v0,dueling_dqn,0,34,-121.9583,,0.59818
MountainCar-v0,dueling_dqn,0,35,-180.6933,,0.589207
MountainCar-v0,dueling_dqn,0,36,-200.0,,0.580369
MountainCar-v0,dueling_dqn,0,37,-195.8098,,0.571664
MountainCar-v0,dueling_dqn,0,38,-161.5088,,0.563089
MountainCar-v0,dueling_dqn,0,39,-190.5337,,0.554642
MountainCar-v0,dueling_dqn,0,40,-161.8261,-168.9141,0.546323
MountainCar-v0,dueling_dqn,0,41,-119.8251,,0.538128
MountainCar-v0,dueling_dqn,0,42,-159.0128,,0.530056
MountainCar-v0,dueling_dqn,0,43,-181.9375,,0.522105
MountainCar-v0,dueling_dqn,0,44,-153.1216,,0.514273
MountainCar-v0,dueling_dqn,0,45,-152.0555,,0.506559
MountainCar-v0,dueling_dqn,0,46,-164.0396,,0.498961
MountainCar-v0,dueling_dqn,0,47,-200.0,,0.491477
MountainCar-v0,dueling_dqn,0,48,-148.7897,,0.484104
MountainCar-v0,dueling_dqn,0,49,-180.3723,,0.476843
MountainCar-v0,dueling_dqn,0,50,-197.9821,,0.46969
MountainCar-v0,dueling_dqn,0,51,-148.9505,,0.462645
MountainCar-v0,dueling_dqn,0,52,-153.4947,,0.455705
MountainCar-v0,dueling_dqn,0,53,-149.4889,,0.44887
MountainCar-v0,dueling_dqn,0,54,-171.2443,,0.442137
MountainCar-v0,dueling_dqn,0,55,-170.2445,,0.435505
MountainCar-v0,dueling_dqn,0,56,-150.4359,,0.428972
MountainCar-v0,dueling_dqn,0,57,-142.0375,,0.422537
MountainCar-v0,dueling_dqn,0,58,-105.8298,,0.416199
MountainCar-v0,dueling_dqn,0,59,-121.6244,,0.409956
MountainCar-v0,dueling_dqn,0,60,-146.0544,-157.3314,0.403807
MountainCar-v0,dueling_dqn,0,61,-89.3815,,0.39775
MountainCar-v0,dueling_dqn,0,62,-155.3984,,0.391784
MountainCar-v0,dueling_dqn,0,63,-123.5162,,0.385907
MountainCar-v0,dueling_dqn,0,64,-120.4228,,0.380118
MountainCar-v0,dueling_dqn,0,65,-168.8232,,0.374417
MountainCar-v0,dueling_dqn,0,66,-150.0975,,0.3688
MountainCar-v0,dueling_dqn,0,67,-123.29,,0.363268
MountainCar-v0,dueling_dqn,0,68,-155.1615,,0.357819
MountainCar-v0,dueling_dqn,0,69,-141.2732,,0.352452
MountainCar-v0,dueling_dqn,0,70,-156.6136,,0.347165
MountainCar-v0,dueling_dqn,0,71,-174.6287,,0.341958
MountainCar-v0,dueling_dqn,0,72,-190.4652,,0.336828
MountainCar-v0,dueling_dqn,0,73,-135.7101,,0.331776
MountainCar-v0,dueling_dqn,0,74,-185.3732,,0.326799
MountainCar-v0,dueling_dqn,0,75,-179.0236,,0.321897
MountainCar-v0,dueling_dqn,0,76,-139.3382,,0.317069
MountainCar-v0,dueling_dqn,0,77,-111.8455,,0.312313
MountainCar-v0,dueling_dqn,0,78,-137.2195,,0.307628
MountainCar-v0,dueling_dqn,0,79,-148.3212,,0.303014
MountainCar-v0,dueling_dqn,0,80,-193.6603,-157.9522,0.298468
MountainCar-v0,dueling_dqn,0,81,-78.7665,,0.293991
MountainCar-v0,dueling_dqn,0,82,-96.6798,,0.289582
MountainCar-v0,dueling_dqn,0,83,-111.1771,,0.285238
MountainCar-v0,dueling_dqn,0,84,-96.4355,,0.280959
MountainCar-v0,dueling_dqn,0,85,6.8819,,0.276745
MountainCar-v0,dueling_dqn,0,86,-75.1593,,0.272594
MountainCar-v0,dueling_dqn,0,87,-25.8187,,0.268505
MountainCar-v0,dueling_dqn,0,88,-79.0954,,0.264477
MountainCar-v0,dueling_dqn,0,89,-130.4831,,0.26051
MountainCar-v0,dueling_dqn,0,90,-71.4543,,0.256602
MountainCar-v0,dueling_dqn,0,91,-175.275,,0.252753
MountainCar-v0,dueling_dqn,0,92,-6.9758,,0.248962
MountainCar-v0,dueling_dqn,0,93,-38.3106,,0.245228
MountainCar-v0,dueling_dqn,0,94,-32.1563,,0.241549
MountainCar-v0,dueling_dqn,0,95,-80.8843,,0.237926
MountainCar-v0,dueling_dqn,0,96,-2.7208,,0.234357
MountainCar-v0,dueling_dqn,0,97,79.546,,0.230842
MountainCar-v0,dueling_dqn,0,98,-128.6657,,0.227379
MountainCar-v0,dueling_dqn,0,99,-52.4768,,0.223968
MountainCar-v0,dueling_dqn,0,100,-90.8722,-60.5482,0.220609
MountainCar-v0,dueling_dqn,0,101,79.6428,,0.2173
MountainCar-v0,dueling_dqn,0,102,-103.0962,,0.21404
MountainCar-v0,dueling_dqn,0,103,-100.4085,,0.21083
MountainCar-v0,dueling_dqn,0,104,-71.2198,,0.207667
MountainCar-v0,dueling_dqn,0,105,-105.6265,,0.204552
MountainCar-v0,dueling_dqn,0,106,-182.6717,,0.201484
MountainCar-v0,dueling_dqn,0,107,-127.4655,,0.198462
MountainCar-v0,dueling_dqn,0,108,-98.61,,0.195485
MountainCar-v0,dueling_dqn,0,109,-38.2596,,0.192552
MountainCar-v0,dueling_dqn,0,110,-89.1982,,0.189664
MountainCar-v0,dueling_dqn,0,111,173.5324,,0.186819
MountainCar-v0,dueling_dqn,0,112,46.5553,,0.184017
MountainCar-v0,dueling_dqn,0,113,56.7828,,0.181257
MountainCar-v0,dueling_dqn,0,114,-110.6624,,0.178538
MountainCar-v0,dueling_dqn,0,115,-165.5294,,0.17586
MountainCar-v0,dueling_dqn,0,116,-70.6533,,0.173222
MountainCar-v0,dueling_dqn,0,117,-26.2086,,0.170624
MountainCar-v0,dueling_dqn,0,118,-162.4835,,0.168064
MountainCar-v0,dueling_dqn,0,119,-131.4392,,0.165543
MountainCar-v0,dueling_dqn,0,120,-175.1875,-143.8668,0.16306
MountainCar-v0,dueling_dqn,0,121,-131.3093,,0.160614
MountainCar-v0,dueling_dqn,0,122,-68.9091,,0.158205
MountainCar-v0,dueling_dqn,0,123,-77.5811,,0.155832
MountainCar-v0,dueling_dqn,0,124,-169.9639,,0.153494
MountainCar-v0,dueling_dqn,0,125,-120.1314,,0.151192
MountainCar-v0,dueling_dqn,0,126,-6.451,,0.148924
MountainCar-v0,dueling_dqn,0,127,-74.8565,,0.14669
MountainCar-v0,dueling_dqn,0,128,-93.144,,0.14449
MountainCar-v0,dueling_dqn,0,129,-43.8548,,0.142323
MountainCar-v0,dueling_dqn,0,130,-100.2017,,0.140188
MountainCar-v0,dueling_dqn,0,131,-139.9374,,0.138085
MountainCar-v0,dueling_dqn,0,132,24.4988,,0.136014
MountainCar-v0,dueling_dqn,0,133,-157.7981,,0.133973
MountainCar-v0,dueling_dqn,0,134,-97.6688,,0.131964
MountainCar-v0,dueling_dqn,0,135,-73.1111,,0.129984
MountainCar-v0,dueling_dqn,0,136,55.3088,,0.128035
MountainCar-v0,dueling_dqn,0,137,-180.236,,0.126114
MountainCar-v0,dueling_dqn,0,138,-91.491,,0.124222
MountainCar-v0,dueling_dqn,0,139,-6.3905,,0.122359
MountainCar-v0,dueling_dqn,0,140,-180.1074,-122.1176,0.120524
MountainCar-v0,dueling_dqn,0,141,-171.6957,,0.118716
MountainCar-v0,dueling_dqn,0,142,55.8275,,0.116935
MountainCar-v0,dueling_dqn,0,143,51.642,,0.115181
MountainCar-v0,dueling_dqn,0,144,-153.795,,0.113453
MountainCar-v0,dueling_dqn,0,145,-147.6855,,0.111752
MountainCar-v0,dueling_dqn,0,146,-162.7814,,0.110075
MountainCar-v0,dueling_dqn,0,147,-126.0899,,0.108424
MountainCar-v0,dueling_dqn,0,148,-148.0635,,0.106798
