model,seed,mode,episode,reward
lunarlander_dqn_baseline,0,greedy,1,126.9018
lunarlander_dqn_baseline,0,greedy,2,174.1285
lunarlander_dqn_baseline,0,greedy,3,162.9304
lunarlander_dqn_baseline,0,greedy,4,-73.3919
lunarlander_dqn_baseline,0,greedy,5,-45.5823
lunarlander_dqn_baseline,0,greedy,6,97.3112
lunarlander_dqn_baseline,0,greedy,7,53.9386
lunarlander_dqn_baseline,0,greedy,8,-0.584
lunarlander_dqn_baseline,0,greedy,9,210.269
lunarlander_dqn_baseline,0,greedy,10,89.4597
lunarlander_dqn_baseline,0,greedy,11,-40.1724
lunarlander_dqn_baseline,0,greedy,12,-80.7055
lunarlander_dqn_baseline,0,greedy,13,-28.7592
lunarlander_dqn_baseline,0,greedy,14,107.4916
lunarlander_dqn_baseline,0,greedy,15,-7.6049
lunarlander_dqn_baseline,0,greedy,16,-32.8011
lunarlander_dqn_baseline,0,greedy,17,6.7331
lunarlander_dqn_baseline,0,greedy,18,81.2475
lunarlander_dqn_baseline,0,greedy,19,-41.7677
lunarlander_dqn_baseline,0,greedy,20,-4.9566
lunarlander_dqn_baseline,1,greedy,1,-84.9693
lunarlander_dqn_baseline,1,greedy,2,-41.8046
lunarlander_dqn_baseline,1,greedy,3,-87.093
lunarlander_dqn_baseline,1,greedy,4,52.1658
lunarlander_dqn_baseline,1,greedy,5,-93.852
lunarlander_dqn_baseline,1,greedy,6,-79.8344
lunarlander_dqn_baseline,1,greedy,7,-28.1915
lunarlander_dqn_baseline,1,greedy,8,-90.0124
lunarlander_dqn_baseline,1,greedy,9,95.3781
lunarlander_dqn_baseline,1,greedy,10,-71.9141
lunarlander_dqn_baseline,1,greedy,11,-74.9236
lunarlander_dqn_baseline,1,greedy,12,-80.75
lunarlander_dqn_baseline,1,greedy,13,-82.4314
lunarlander_dqn_baseline,1,greedy,14,-77.4378
lunarlander_dqn_baseline,1,greedy,15,-102.5882
lunarlander_dqn_baseline,1,greedy,16,-117.4648
lunarlander_dqn_baseline,1,greedy,17,-60.846
lunarlander_dqn_baseline,1,greedy,18,98.5227
lunarlander_dqn_baseline,1,greedy,19,87.4432
lunarlander_dqn_baseline,1,greedy,20,149.1579
lunarlander_dqn_baseline,2,greedy,1,207.7521
lunarlander_dqn_baseline,2,greedy,2,41.727
lunarlander_dqn_baseline,2,greedy,3,175.4711
lunarlander_dqn_baseline,2,greedy,4,152.2029
lunarlander_dqn_baseline,2,greedy,5,-17.0388
lunarlander_dqn_baseline,2,greedy,6,191.4755
lunarlander_dqn_baseline,2,greedy,7,149.2585
lunarlander_dqn_baseline,2,greedy,8,41.9356
lunarlander_dqn_baseline,2,greedy,9,9.4917
lunarlander_dqn_baseline,2,greedy,10,218.9058
lunarlander_dqn_baseline,2,greedy,11,164.5141
lunarlander_dqn_baseline,2,greedy,12,173.089
lunarlander_dqn_baseline,2,greedy,13,196.2389
lunarlander_dqn_baseline,2,greedy,14,-15.0616
lunarlander_dqn_baseline,2,greedy,15,186.9723
lunarlander_dqn_baseline,2,greedy,16,199.3756
lunarlander_dqn_baseline,2,greedy,17,35.9404
lunarlander_dqn_baseline,2,greedy,18,197.9312
lunarlander_dqn_baseline,2,greedy,19,142.0373
lunarlander_dqn_baseline,2,greedy,20,-45.4659
lunarlander_dqn_per,0,greedy,1,257.3925
lunarlander_dqn_per,0,greedy,2,223.9971
lunarlander_dqn_per,0,greedy,3,245.3201
lunarlander_dqn_per,0,greedy,4,223.9033
lunarlander_dqn_per,0,greedy,5,229.5676
lunarlander_dqn_per,0,greedy,6,233.6657
lunarlander_dqn_per,0,greedy,7,173.8282
lunarlander_dqn_per,0,greedy,8,275.9157
lunarlander_dqn_per,0,greedy,9,237.4415
lunarlander_dqn_per,0,greedy,10,233.9798
lunarlander_dqn_per,0,greedy,11,99.5062
lunarlander_dqn_per,0,greedy,12,258.3736
lunarlander_dqn_per,0,greedy,13,221.1719
lunarlander_dqn_per,0,greedy,14,264.8095
lunarlander_dqn_per,0,greedy,15,244.9242
lunarlander_dqn_per,0,greedy,16,158.8253
lunarlander_dqn_per,0,greedy,17,262.7712
lunarlander_dqn_per,0,greedy,18,216.9443
lunarlander_dqn_per,0,greedy,19,238.7338
lunarlander_dqn_per,0,greedy,20,172.4099
lunarlander_dqn_per,1,greedy,1,147.69
lunarlander_dqn_per,1,greedy,2,182.9128
lunarlander_dqn_per,1,greedy,3,229.8395
lunarlander_dqn_per,1,greedy,4,261.1279
lunarlander_dqn_per,1,greedy,5,109.8686
lunarlander_dqn_per,1,greedy,6,-23.0427
lunarlander_dqn_per,1,greedy,7,280.5523
lunarlander_dqn_per,1,greedy,8,254.7666
lunarlander_dqn_per,1,greedy,9,248.1626
lunarlander_dqn_per,1,greedy,10,125.9504
lunarlander_dqn_per,1,greedy,11,-32.884
lunarlander_dqn_per,1,greedy,12,104.0353
lunarlander_dqn_per,1,greedy,13,46.8141
lunarlander_dqn_per,1,greedy,14,69.552
lunarlander_dqn_per,1,greedy,15,-11.1609
lunarlander_dqn_per,1,greedy,16,280.2114
lunarlander_dqn_per,1,greedy,17,248.9226
lunarlander_dqn_per,1,greedy,18,255.5585
lunarlander_dqn_per,1,greedy,19,152.5651
lunarlander_dqn_per,1,greedy,20,254.6245
lunarlander_dqn_per,2,greedy,1,265.922
lunarlander_dqn_per,2,greedy,2,129.2874
lunarlander_dqn_per,2,greedy,3,125.3883
lunarlander_dqn_per,2,greedy,4,236.43
lunarlander_dqn_per,2,greedy,5,129.8402
lunarlander_dqn_per,2,greedy,6,114.7911
lunarlander_dqn_per,2,greedy,7,264.6911
lunarlander_dqn_per,2,greedy,8,122.5056
lunarlander_dqn_per,2,greedy,9,180.4824
lunarlander_dqn_per,2,greedy,10,274.6757
lunarlander_dqn_per,2,greedy,11,236.0964
lunarlander_dqn_per,2,greedy,12,253.1278
lunarlander_dqn_per,2,greedy,13,252.4968
lunarlander_dqn_per,2,greedy,14,97.4565
lunarlander_dqn_per,2,greedy,15,244.4444
lunarlander_dqn_per,2,greedy,16,263.6298
lunarlander_dqn_per,2,greedy,17,104.5489
lunarlander_dqn_per,2,greedy,18,250.18
lunarlander_dqn_per,2,greedy,19,239.7068
lunarlander_dqn_per,2,greedy,20,230.3672
lunarlander_ddqn_per,0,greedy,1,157.5881
lunarlander_ddqn_per,0,greedy,2,109.9352
lunarlander_ddqn_per,0,greedy,3,239.2164
lunarlander_ddqn_per,0,greedy,4,200.6338
lunarlander_ddqn_per,0,greedy,5,72.8757
lunarlander_ddqn_per,0,greedy,6,233.9856
lunarlander_ddqn_per,0,greedy,7,146.6761
lunarlander_ddqn_per,0,greedy,8,68.112
lunarlander_ddqn_per,0,greedy,9,234.6651
lunarlander_ddqn_per,0,greedy,10,172.7574
lunarlander_ddqn_per,0,greedy,11,223.3524
lunarlander_ddqn_per,0,greedy,12,249.2991
lunarlander_ddqn_per,0,greedy,13,223.6283
lunarlander_ddqn_per,0,greedy,14,260.5467
lunarlander_ddqn_per,0,greedy,15,100.276
lunarlander_ddqn_per,0,greedy,16,145.0419
lunarlander_ddqn_per,0,greedy,17,75.7
lunarlander_ddqn_per,0,greedy,18,-17.5182
lunarlander_ddqn_per,0,greedy,19,236.5277
lunarlander_ddqn_per,0,greedy,20,129.0459
lunarlander_ddqn_per,1,greedy,1,137.9449
lunarlander_ddqn_per,1,greedy,2,276.6976
lunarlander_ddqn_per,1,greedy,3,239.4389
lunarlander_ddqn_per,1,greedy,4,248.2431
lunarlander_ddqn_per,1,greedy,5,-12.0712
lunarlander_ddqn_per,1,greedy,6,251.9654
lunarlander_ddqn_per,1,greedy,7,-9.0026
lunarlander_ddqn_per,1,greedy,8,12.7336
lunarlander_ddqn_per,1,greedy,9,15.3654
lunarlander_ddqn_per,1,greedy,10,275.3579
lunarlander_ddqn_per,1,greedy,11,231.8834
lunarlander_ddqn_per,1,greedy,12,100.9307
lunarlander_ddqn_per,1,greedy,13,227.5724
lunarlander_ddqn_per,1,greedy,14,154.6311
lunarlander_ddqn_per,1,greedy,15,153.8071
lunarlander_ddqn_per,1,greedy,16,240.0593
lunarlander_ddqn_per,1,greedy,17,174.4736
