model,environment,algorithm,seed,mode,episodes,mean_reward,std_reward
lunarlander_dqn_baseline,LunarLander-v3,dqn,0,greedy,20,37.7043,85.6319
lunarlander_dqn_baseline,LunarLander-v3,dqn,1,greedy,20,-34.5723,79.4568
lunarlander_dqn_baseline,LunarLander-v3,dqn,2,greedy,20,120.3376,87.0102
lunarlander_dqn_per,LunarLander-v3,dqn_per,0,greedy,20,223.6741,41.6266
lunarlander_dqn_per,LunarLander-v3,dqn_per,1,greedy,20,159.3033,103.7683
lunarlander_dqn_per,LunarLander-v3,dqn_per,2,greedy,20,200.8034,64.0727
lunarlander_ddqn_per,LunarLander-v3,ddqn_per,0,greedy,20,163.1173,75.1791
lunarlander_ddqn_per,LunarLander-v3,ddqn_per,1,greedy,20,159.3864,106.447
lunarlander_ddqn_per,LunarLander-v3,ddqn_per,2,greedy,20,198.919,59.0333
lunarlander_dueling_dqn_per,LunarLander-v3,dueling_dqn_per,0,greedy,20,178.4219,79.4774
lunarlander_dueling_dqn_per,LunarLander-v3,dueling_dqn_per,1,greedy,20,151.1319,72.2918
lunarlander_dueling_dqn_per,LunarLander-v3,dueling_dqn_per,2,greedy,20,214.8472,58.5096
lunarlander_ppo_improved,LunarLander-v3,ppo_improved,0,greedy,20,117.0606,125.296
lunarlander_ppo_improved,LunarLander-v3,ppo_improved,0,stochastic,20,61.5778,125.4228
lunarlander_ppo_improved,LunarLander-v3,ppo_improved,1,greedy,20,32.1845,137.0768
lunarlander_ppo_improved,LunarLander-v3,ppo_improved,1,stochastic,20,42.032,103.6091
lunarlander_ppo_improved,LunarLander-v3,ppo_improved,2,greedy,20,127.8823,125.5889
lunarlander_ppo_improved,LunarLander-v3,ppo_improved,2,stochastic,20,159.3355,122.6086
mountaincar_dqn_baseline_shaped,MountainCar-v0,dqn,0,greedy,20,-154.2338,9.9917
mountaincar_dqn_baseline_shaped,MountainCar-v0,dqn,1,greedy,20,55.5275,94.2618
mountaincar_dqn_baseline_shaped,MountainCar-v0,dqn,2,greedy,20,35.3542,47.2981
mountaincar_dqn_per_shaped,MountainCar-v0,dqn_per,0,greedy,20,-123.3891,104.5939
mountaincar_dqn_per_shaped,MountainCar-v0,dqn_per,1,greedy,20,49.9542,18.417
mountaincar_dqn_per_shaped,MountainCar-v0,dqn_per,2,greedy,20,43.934,8.0431
mountaincar_ddqn_per_shaped,MountainCar-v0,ddqn_per,0,greedy,20,98.7674,153.8537
mountaincar_ddqn_per_shaped,MountainCar-v0,ddqn_per,1,greedy,20,30.1909,5.3054
mountaincar_ddqn_per_shaped,MountainCar-v0,ddqn_per,2,greedy,20,31.2821,78.4746
mountaincar_ppo_improved_shaped,MountainCar-v0,ppo_improved,0,greedy,20,-154.2338,9.9917
mountaincar_ppo_improved_shaped,MountainCar-v0,ppo_improved,0,stochastic,20,-154.3236,10.1479
mountaincar_ppo_improved_shaped,MountainCar-v0,ppo_improved,1,greedy,20,-155.1758,8.7013
mountaincar_ppo_improved_shaped,MountainCar-v0,ppo_improved,1,stochastic,20,-155.1758,8.7013
mountaincar_ppo_improved_shaped,MountainCar-v0,ppo_improved,2,greedy,20,-155.9471,8.5908
mountaincar_ppo_improved_shaped,MountainCar-v0,ppo_improved,2,stochastic,20,-155.9471,8.5908
