environment,algorithm,seed,episode,train_reward,eval_reward,eval_reward_greedy,eval_reward_stochastic
LunarLander-v3,ppo_improved,0,1,-69.602,,,
LunarLander-v3,ppo_improved,0,2,-113.3164,,,
LunarLander-v3,ppo_improved,0,3,-241.1739,,,
LunarLander-v3,ppo_improved,0,4,-209.6156,,,
LunarLander-v3,ppo_improved,0,5,-120.1319,,,
LunarLander-v3,ppo_improved,0,6,-223.1768,,,
LunarLander-v3,ppo_improved,0,7,-246.632,,,
LunarLander-v3,ppo_improved,0,8,-183.213,,,
LunarLander-v3,ppo_improved,0,9,-254.0411,,,
LunarLander-v3,ppo_improved,0,10,-108.0776,,,
LunarLander-v3,ppo_improved,0,11,-109.4812,,,
LunarLander-v3,ppo_improved,0,12,-251.3303,,,
LunarLander-v3,ppo_improved,0,13,-95.3117,,,
LunarLander-v3,ppo_improved,0,14,-145.521,,,
LunarLander-v3,ppo_improved,0,15,-254.9221,,,
LunarLander-v3,ppo_improved,0,16,-185.2867,,,
LunarLander-v3,ppo_improved,0,17,-163.3431,,,
LunarLander-v3,ppo_improved,0,18,-300.3355,,,
LunarLander-v3,ppo_improved,0,19,-85.7793,,,
LunarLander-v3,ppo_improved,0,20,-184.9443,,,
LunarLander-v3,ppo_improved,0,21,-162.9284,,,
LunarLander-v3,ppo_improved,0,22,-131.144,,,
LunarLander-v3,ppo_improved,0,23,-95.7566,,,
LunarLander-v3,ppo_improved,0,24,-71.7607,,,
LunarLander-v3,ppo_improved,0,25,-150.4862,,,
LunarLander-v3,ppo_improved,0,26,-136.2801,,,
LunarLander-v3,ppo_improved,0,27,-114.9637,,,
LunarLander-v3,ppo_improved,0,28,-58.2811,,,
LunarLander-v3,ppo_improved,0,29,-370.1201,,,
LunarLander-v3,ppo_improved,0,30,-201.4282,,,
LunarLander-v3,ppo_improved,0,31,-141.67,,,
LunarLander-v3,ppo_improved,0,32,-319.7402,,,
LunarLander-v3,ppo_improved,0,33,-311.8647,,,
LunarLander-v3,ppo_improved,0,34,-105.4038,,,
LunarLander-v3,ppo_improved,0,35,-168.5214,,,
LunarLander-v3,ppo_improved,0,36,-137.6678,,,
LunarLander-v3,ppo_improved,0,37,-72.3221,,,
LunarLander-v3,ppo_improved,0,38,-105.423,,,
LunarLander-v3,ppo_improved,0,39,-103.1417,,,
LunarLander-v3,ppo_improved,0,40,-94.4176,,,
LunarLander-v3,ppo_improved,0,41,-31.3742,,,
LunarLander-v3,ppo_improved,0,42,-324.0345,,,
LunarLander-v3,ppo_improved,0,43,-123.616,,,
LunarLander-v3,ppo_improved,0,44,-193.7782,,,
LunarLander-v3,ppo_improved,0,45,-124.1866,,,
LunarLander-v3,ppo_improved,0,46,-115.9982,,,
LunarLander-v3,ppo_improved,0,47,-204.259,,,
LunarLander-v3,ppo_improved,0,48,-85.4799,,,
LunarLander-v3,ppo_improved,0,49,-91.5023,,,
LunarLander-v3,ppo_improved,0,50,-105.881,-314.7909,-314.7909,-177.3165
LunarLander-v3,ppo_improved,0,51,-445.7974,,,
LunarLander-v3,ppo_improved,0,52,-125.95,,,
LunarLander-v3,ppo_improved,0,53,-140.5472,,,
LunarLander-v3,ppo_improved,0,54,-306.3424,,,
LunarLander-v3,ppo_improved,0,55,-273.5879,,,
LunarLander-v3,ppo_improved,0,56,-85.8727,,,
LunarLander-v3,ppo_improved,0,57,-223.6627,,,
LunarLander-v3,ppo_improved,0,58,-202.4605,,,
LunarLander-v3,ppo_improved,0,59,-386.5602,,,
LunarLander-v3,ppo_improved,0,60,-424.8559,,,
LunarLander-v3,ppo_improved,0,61,-144.5353,,,
LunarLander-v3,ppo_improved,0,62,-130.3969,,,
LunarLander-v3,ppo_improved,0,63,-78.2432,,,
LunarLander-v3,ppo_improved,0,64,-106.361,,,
LunarLander-v3,ppo_improved,0,65,-214.6527,,,
LunarLander-v3,ppo_improved,0,66,-183.2472,,,
LunarLander-v3,ppo_improved,0,67,-297.1108,,,
LunarLander-v3,ppo_improved,0,68,-393.6571,,,
LunarLander-v3,ppo_improved,0,69,-176.0669,,,
