environment,algorithm,seed,episode,train_reward,eval_reward
LunarLander-v3,ppo,0,1,-265.3716,
LunarLander-v3,ppo,0,2,-94.5075,
LunarLander-v3,ppo,0,3,-74.0462,
LunarLander-v3,ppo,0,4,-100.5152,
LunarLander-v3,ppo,0,5,-101.1081,
LunarLander-v3,ppo,0,6,-145.3929,
LunarLander-v3,ppo,0,7,-173.2724,
LunarLander-v3,ppo,0,8,-101.9483,
LunarLander-v3,ppo,0,9,-261.2277,
LunarLander-v3,ppo,0,10,-224.2436,
LunarLander-v3,ppo,0,11,-88.2856,
LunarLander-v3,ppo,0,12,-155.8415,
LunarLander-v3,ppo,0,13,-82.9005,
LunarLander-v3,ppo,0,14,-118.5491,
LunarLander-v3,ppo,0,15,-412.0487,
LunarLander-v3,ppo,0,16,-326.7897,
LunarLander-v3,ppo,0,17,-136.9152,
LunarLander-v3,ppo,0,18,-332.41,
LunarLander-v3,ppo,0,19,-129.5342,
LunarLander-v3,ppo,0,20,-108.0696,-481.7746
LunarLander-v3,ppo,0,21,-133.6829,
LunarLander-v3,ppo,0,22,-359.2114,
LunarLander-v3,ppo,0,23,-288.8246,
LunarLander-v3,ppo,0,24,-72.226,
LunarLander-v3,ppo,0,25,-56.0113,
LunarLander-v3,ppo,0,26,-351.6602,
LunarLander-v3,ppo,0,27,-382.6544,
LunarLander-v3,ppo,0,28,-71.5125,
LunarLander-v3,ppo,0,29,-286.613,
LunarLander-v3,ppo,0,30,7.0837,
LunarLander-v3,ppo,0,31,-138.681,
LunarLander-v3,ppo,0,32,-348.3709,
LunarLander-v3,ppo,0,33,-134.5345,
LunarLander-v3,ppo,0,34,-158.429,
LunarLander-v3,ppo,0,35,-526.6475,
LunarLander-v3,ppo,0,36,-216.0646,
LunarLander-v3,ppo,0,37,-135.6991,
LunarLander-v3,ppo,0,38,-297.7935,
LunarLander-v3,ppo,0,39,-128.6317,
LunarLander-v3,ppo,0,40,-71.6778,-319.0285
LunarLander-v3,ppo,0,41,-91.3027,
LunarLander-v3,ppo,0,42,-97.7358,
LunarLander-v3,ppo,0,43,-229.0215,
LunarLander-v3,ppo,0,44,-138.3451,
LunarLander-v3,ppo,0,45,-110.8894,
LunarLander-v3,ppo,0,46,-61.6712,
LunarLander-v3,ppo,0,47,-113.1357,
LunarLander-v3,ppo,0,48,-129.3627,
LunarLander-v3,ppo,0,49,-144.3589,
LunarLander-v3,ppo,0,50,-127.3555,
LunarLander-v3,ppo,0,51,-56.9493,
LunarLander-v3,ppo,0,52,-99.0413,
LunarLander-v3,ppo,0,53,-129.1864,
LunarLander-v3,ppo,0,54,-146.9458,
LunarLander-v3,ppo,0,55,-153.8124,
LunarLander-v3,ppo,0,56,-103.2735,
LunarLander-v3,ppo,0,57,-379.1655,
LunarLander-v3,ppo,0,58,-482.8934,
LunarLander-v3,ppo,0,59,-123.2647,
LunarLander-v3,ppo,0,60,-86.7514,-599.1092
LunarLander-v3,ppo,0,61,-2.087,
LunarLander-v3,ppo,0,62,-83.771,
LunarLander-v3,ppo,0,63,-283.3233,
LunarLander-v3,ppo,0,64,-45.2154,
LunarLander-v3,ppo,0,65,-183.2827,
LunarLander-v3,ppo,0,66,-117.9729,
LunarLander-v3,ppo,0,67,-250.5523,
LunarLander-v3,ppo,0,68,-101.2946,
LunarLander-v3,ppo,0,69,-163.5991,
LunarLander-v3,ppo,0,70,-101.0572,
LunarLander-v3,ppo,0,71,-72.2555,
LunarLander-v3,ppo,0,72,-82.6677,
LunarLander-v3,ppo,0,73,-91.5661,
LunarLander-v3,ppo,0,74,-82.5936,
LunarLander-v3,ppo,0,75,-148.875,
LunarLander-v3,ppo,0,76,-122.6026,
LunarLander-v3,ppo,0,77,-158.0335,
LunarLander-v3,ppo,0,78,-221.5604,
LunarLander-v3,ppo,0,79,-154.0268,
LunarLander-v3,ppo,0,80,-101.3757,-631.3504
LunarLander-v3,ppo,0,81,-82.8067,
LunarLander-v3,ppo,0,82,-103.2029,
