environment,algorithm,seed,episode,train_reward,eval_reward,eval_reward_greedy,eval_reward_stochastic
MountainCar-v0,ppo,0,1,-179.369,,,
MountainCar-v0,ppo,0,2,-184.7234,,,
MountainCar-v0,ppo,0,3,-173.9932,,,
MountainCar-v0,ppo,0,4,-194.7932,,,
MountainCar-v0,ppo,0,5,-165.7136,,,
MountainCar-v0,ppo,0,6,-200.0,,,
MountainCar-v0,ppo,0,7,-200.0,,,
MountainCar-v0,ppo,0,8,-200.0,,,
MountainCar-v0,ppo,0,9,-175.6805,,,
MountainCar-v0,ppo,0,10,-200.0,,,
MountainCar-v0,ppo,0,11,-200.0,,,
MountainCar-v0,ppo,0,12,-200.0,,,
MountainCar-v0,ppo,0,13,-180.1236,,,
MountainCar-v0,ppo,0,14,-200.0,,,
MountainCar-v0,ppo,0,15,-189.7778,,,
MountainCar-v0,ppo,0,16,-200.0,,,
MountainCar-v0,ppo,0,17,-186.5416,,,
MountainCar-v0,ppo,0,18,-186.3929,,,
MountainCar-v0,ppo,0,19,-185.5934,,,
MountainCar-v0,ppo,0,20,-200.0,-155.3715,-155.3715,-190.9108
MountainCar-v0,ppo,0,21,-192.6079,,,
MountainCar-v0,ppo,0,22,-200.0,,,
MountainCar-v0,ppo,0,23,-200.0,,,
MountainCar-v0,ppo,0,24,-179.6262,,,
MountainCar-v0,ppo,0,25,-189.9825,,,
MountainCar-v0,ppo,0,26,-200.0,,,
MountainCar-v0,ppo,0,27,-161.7365,,,
MountainCar-v0,ppo,0,28,-189.2576,,,
MountainCar-v0,ppo,0,29,-177.8272,,,
MountainCar-v0,ppo,0,30,-179.7876,,,
MountainCar-v0,ppo,0,31,-200.0,,,
MountainCar-v0,ppo,0,32,-189.4994,,,
MountainCar-v0,ppo,0,33,-200.0,,,
MountainCar-v0,ppo,0,34,-183.9879,,,
MountainCar-v0,ppo,0,35,-177.0591,,,
MountainCar-v0,ppo,0,36,-200.0,,,
MountainCar-v0,ppo,0,37,-200.0,,,
MountainCar-v0,ppo,0,38,-180.7325,,,
MountainCar-v0,ppo,0,39,-200.0,,,
MountainCar-v0,ppo,0,40,-200.0,-155.3715,-155.3715,-186.9057
MountainCar-v0,ppo,0,41,-185.3688,,,
MountainCar-v0,ppo,0,42,-200.0,,,
MountainCar-v0,ppo,0,43,-169.6747,,,
MountainCar-v0,ppo,0,44,-194.6054,,,
MountainCar-v0,ppo,0,45,-186.8907,,,
MountainCar-v0,ppo,0,46,-186.1216,,,
MountainCar-v0,ppo,0,47,-192.1762,,,
MountainCar-v0,ppo,0,48,-183.1846,,,
MountainCar-v0,ppo,0,49,-200.0,,,
MountainCar-v0,ppo,0,50,-200.0,,,
MountainCar-v0,ppo,0,51,-150.7489,,,
MountainCar-v0,ppo,0,52,-184.639,,,
MountainCar-v0,ppo,0,53,-193.394,,,
MountainCar-v0,ppo,0,54,-161.7097,,,
MountainCar-v0,ppo,0,55,-185.6784,,,
MountainCar-v0,ppo,0,56,-198.9976,,,
MountainCar-v0,ppo,0,57,-170.653,,,
MountainCar-v0,ppo,0,58,-194.4951,,,
MountainCar-v0,ppo,0,59,-200.0,,,
MountainCar-v0,ppo,0,60,-167.4425,-155.3715,-155.3715,-189.4642
MountainCar-v0,ppo,0,61,-200.0,,,
MountainCar-v0,ppo,0,62,-186.0574,,,
MountainCar-v0,ppo,0,63,-200.0,,,
MountainCar-v0,ppo,0,64,-159.245,,,
MountainCar-v0,ppo,0,65,-168.5954,,,
MountainCar-v0,ppo,0,66,-182.2548,,,
MountainCar-v0,ppo,0,67,-172.7035,,,
MountainCar-v0,ppo,0,68,-197.8624,,,
MountainCar-v0,ppo,0,69,-193.6134,,,
MountainCar-v0,ppo,0,70,-188.9206,,,
MountainCar-v0,ppo,0,71,-187.9529,,,
MountainCar-v0,ppo,0,72,-194.9091,,,
MountainCar-v0,ppo,0,73,-184.1811,,,
MountainCar-v0,ppo,0,74,-197.8554,,,
MountainCar-v0,ppo,0,75,-200.0,,,
MountainCar-v0,ppo,0,76,-200.0,,,
MountainCar-v0,ppo,0,77,-175.4139,,,
MountainCar-v0,ppo,0,78,-177.5915,,,
MountainCar-v0,ppo,0,79,-174.2386,,,
MountainCar-v0,ppo,0,80,-200.0,-155.3715,-155.3715,-192.0163
MountainCar-v0,ppo,0,81,-185.4289,,,
MountainCar-v0,ppo,0,82,-186.5486,,,
MountainCar-v0,ppo,0,83,-189.8698,,,
MountainCar-v0,ppo,0,84,-184.062,,,
MountainCar-v0,ppo,0,85,-136.7294,,,
MountainCar-v0,ppo,0,86,-200.0,,,
MountainCar-v0,ppo,0,87,-173.7444,,,
MountainCar-v0,ppo,0,88,-187.0932,,,
MountainCar-v0,ppo,0,89,-191.5695,,,
MountainCar-v0,ppo,0,90,-200.0,,,
MountainCar-v0,ppo,0,91,-181.6512,,,
MountainCar-v0,ppo,0,92,-196.9355,,,
MountainCar-v0,ppo,0,93,-191.7695,,,
MountainCar-v0,ppo,0,94,-170.9093,,,
MountainCar-v0,ppo,0,95,-187.8514,,,
MountainCar-v0,ppo,0,96,-200.0,,,
MountainCar-v0,ppo,0,97,-190.4084,,,
MountainCar-v0,ppo,0,98,-147.8403,,,
MountainCar-v0,ppo,0,99,-175.6971,,,
MountainCar-v0,ppo,0,100,-182.694,-155.3715,-155.3715,-192.1478
MountainCar-v0,ppo,0,101,-188.6325,,,
MountainCar-v0,ppo,0,102,-175.4032,,,
MountainCar-v0,ppo,0,103,-200.0,,,
MountainCar-v0,ppo,0,104,-200.0,,,
MountainCar-v0,ppo,0,105,-200.0,,,
MountainCar-v0,ppo,0,106,-157.6119,,,
MountainCar-v0,ppo,0,107,-192.8362,,,
MountainCar-v0,ppo,0,108,-170.7225,,,
MountainCar-v0,ppo,0,109,-200.0,,,
MountainCar-v0,ppo,0,110,-200.0,,,
MountainCar-v0,ppo,0,111,-173.1835,,,
MountainCar-v0,ppo,0,112,-174.9703,,,
MountainCar-v0,ppo,0,113,-170.3611,,,
MountainCar-v0,ppo,0,114,-180.7987,,,
MountainCar-v0,ppo,0,115,-200.0,,,
MountainCar-v0,ppo,0,116,-175.3242,,,
MountainCar-v0,ppo,0,117,-186.4496,,,
MountainCar-v0,ppo,0,118,-190.3897,,,
MountainCar-v0,ppo,0,119,-200.0,,,
MountainCar-v0,ppo,0,120,-182.2901,-155.3715,-155.3715,-184.3244
MountainCar-v0,ppo,0,121,-200.0,,,
MountainCar-v0,ppo,0,122,-159.8291,,,
MountainCar-v0,ppo,0,123,-185.1442,,,
MountainCar-v0,ppo,0,124,-166.6205,,,
MountainCar-v0,ppo,0,125,-189.6857,,,
MountainCar-v0,ppo,0,126,-200.0,,,
MountainCar-v0,ppo,0,127,-182.0079,,,
MountainCar-v0,ppo,0,128,-184.6841,,,
MountainCar-v0,ppo,0,129,-200.0,,,
MountainCar-v0,ppo,0,130,-184.0678,,,
MountainCar-v0,ppo,0,131,-195.8151,,,
MountainCar-v0,ppo,0,132,-195.67,,,
MountainCar-v0,ppo,0,133,-186.5772,,,
MountainCar-v0,ppo,0,134,-185.2207,,,
MountainCar-v0,ppo,0,135,-200.0,,,
MountainCar-v0,ppo,0,136,-198.9775,,,
MountainCar-v0,ppo,0,137,-200.0,,,
MountainCar-v0,ppo,0,138,-200.0,,,
MountainCar-v0,ppo,0,139,-172.3078,,,
MountainCar-v0,ppo,0,140,-192.0534,-155.3715,-155.3715,-186.9234
MountainCar-v0,ppo,0,141,-190.3036,,,
MountainCar-v0,ppo,0,142,-164.2879,,,
MountainCar-v0,ppo,0,143,-200.0,,,
MountainCar-v0,ppo,0,144,-200.0,,,
MountainCar-v0,ppo,0,145,-198.9965,,,
MountainCar-v0,ppo,0,146,-200.0,,,
MountainCar-v0,ppo,0,147,-183.0069,,,
MountainCar-v0,ppo,0,148,-194.3952,,,
MountainCar-v0,ppo,0,149,-192.4754,,,
MountainCar-v0,ppo,0,150,-187.6361,,,
MountainCar-v0,ppo,0,151,-200.0,,,
MountainCar-v0,ppo,0,152,-170.9287,,,
MountainCar-v0,ppo,0,153,-183.6122,,,
MountainCar-v0,ppo,0,154,-180.5816,,,
MountainCar-v0,ppo,0,155,-181.3956,,,
MountainCar-v0,ppo,0,156,-172.8817,,,
MountainCar-v0,ppo,0,157,-161.28,,,
MountainCar-v0,ppo,0,158,-175.1897,,,
MountainCar-v0,ppo,0,159,-179.1198,,,
MountainCar-v0,ppo,0,160,-200.0,-155.3715,-155.3715,-175.6365
MountainCar-v0,ppo,0,161,-172.0259,,,
MountainCar-v0,ppo,0,162,-190.1148,,,
MountainCar-v0,ppo,0,163,-182.6869,,,
MountainCar-v0,ppo,0,164,-186.9995,,,
MountainCar-v0,ppo,0,165,-200.0,,,
MountainCar-v0,ppo,0,166,-191.1048,,,
MountainCar-v0,ppo,0,167,-188.3965,,,
MountainCar-v0,ppo,0,168,-184.1319,,,
MountainCar-v0,ppo,0,169,-200.0,,,
MountainCar-v0,ppo,0,170,-200.0,,,
MountainCar-v0,ppo,0,171,-200.0,,,
MountainCar-v0,ppo,0,172,-159.1066,,,
MountainCar-v0,ppo,0,173,-176.2859,,,
MountainCar-v0,ppo,0,174,-195.8158,,,
MountainCar-v0,ppo,0,175,-200.0,,,
MountainCar-v0,ppo,0,176,-189.4938,,,
MountainCar-v0,ppo,0,177,-196.8799,,,
MountainCar-v0,ppo,0,178,-181.9894,,,
MountainCar-v0,ppo,0,179,-195.7543,,,
MountainCar-v0,ppo,0,180,-200.0,-155.3715,-155.3715,-186.9834
MountainCar-v0,ppo,0,181,-184.5006,,,
MountainCar-v0,ppo,0,182,-179.7942,,,
MountainCar-v0,ppo,0,183,-195.6056,,,
MountainCar-v0,ppo,0,184,-153.4081,,,
MountainCar-v0,ppo,0,185,-200.0,,,
MountainCar-v0,ppo,0,186,-200.0,,,
MountainCar-v0,ppo,0,187,-194.5833,,,
MountainCar-v0,ppo,0,188,-185.0983,,,
MountainCar-v0,ppo,0,189,-194.7455,,,
MountainCar-v0,ppo,0,190,-190.226,,,
MountainCar-v0,ppo,0,191,-187.8855,,,
MountainCar-v0,ppo,0,192,-187.7039,,,
MountainCar-v0,ppo,0,193,-185.2021,,,
MountainCar-v0,ppo,0,194,-189.8333,,,
MountainCar-v0,ppo,0,195,-119.4691,,,
MountainCar-v0,ppo,0,196,-176.3211,,,
MountainCar-v0,ppo,0,197,-198.998,,,
MountainCar-v0,ppo,0,198,-180.4877,,,
MountainCar-v0,ppo,0,199,-200.0,,,
MountainCar-v0,ppo,0,200,-200.0,-155.3715,-155.3715,-184.7741
MountainCar-v0,ppo,0,201,-181.2173,,,
MountainCar-v0,ppo,0,202,-200.0,,,
MountainCar-v0,ppo,0,203,-197.971,,,
MountainCar-v0,ppo,0,204,-150.6007,,,
MountainCar-v0,ppo,0,205,-166.3061,,,
MountainCar-v0,ppo,0,206,-200.0,,,
MountainCar-v0,ppo,0,207,-188.0837,,,
MountainCar-v0,ppo,0,208,-178.8974,,,
MountainCar-v0,ppo,0,209,-170.2694,,,
MountainCar-v0,ppo,0,210,-190.4369,,,
MountainCar-v0,ppo,0,211,-194.3653,,,
MountainCar-v0,ppo,0,212,-182.5226,,,
MountainCar-v0,ppo,0,213,-190.7973,,,
MountainCar-v0,ppo,0,214,-188.8935,,,
MountainCar-v0,ppo,0,215,-184.3709,,,
MountainCar-v0,ppo,0,216,-177.7453,,,
MountainCar-v0,ppo,0,217,-200.0,,,
MountainCar-v0,ppo,0,218,-157.6713,,,
MountainCar-v0,ppo,0,219,-200.0,,,
MountainCar-v0,ppo,0,220,-194.4731,-155.3715,-155.3715,-190.824
MountainCar-v0,ppo,0,221,-193.4802,,,
MountainCar-v0,ppo,0,222,-158.0518,,,
MountainCar-v0,ppo,0,223,-189.7755,,,
MountainCar-v0,ppo,0,224,-200.0,,,
MountainCar-v0,ppo,0,225,-188.1196,,,
MountainCar-v0,ppo,0,226,-200.0,,,
MountainCar-v0,ppo,0,227,-200.0,,,
MountainCar-v0,ppo,0,228,-176.6844,,,
MountainCar-v0,ppo,0,229,-180.382,,,
MountainCar-v0,ppo,0,230,-149.66,,,
MountainCar-v0,ppo,0,231,-197.9788,,,
MountainCar-v0,ppo,0,232,-187.6838,,,
MountainCar-v0,ppo,0,233,-163.9771,,,
MountainCar-v0,ppo,0,234,-177.6787,,,
MountainCar-v0,ppo,0,235,-200.0,,,
MountainCar-v0,ppo,0,236,-171.552,,,
